Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Layoff_Month,Layoff_Quarter,Funding_Status,Layoff_Level
Crypto.com,Singapore,Singapore,Asia,260.0,2022-06-10,5.0,5200.0,4940.0,Crypto,Unknown,156.0,2022,1.28967,103.85007,6,2,Yes,Heavy
FarEye,New Delhi,India,Asia,250.0,2022-06-10,30.0,833.0,583.0,Logistics,Series E,150.0,2022,28.65195,77.23149,6,2,Yes,Heavy
Berlin Brands Group,Berlin,Germany,Europe,100.0,2022-06-10,10.0,1000.0,900.0,Retail,Unknown,1000.0,2022,52.52437,13.41053,6,2,Yes,Moderate
Sanar,Sao Paulo,Brazil,South America,60.0,2022-06-10,20.0,300.0,240.0,Healthcare,Unknown,11.0,2022,-23.5475,-46.63611,6,2,Yes,Moderate
Freetrade,London,United Kingdom,Europe,45.0,2022-06-10,15.0,300.0,255.0,Finance,Unknown,133.0,2022,51.50853,-0.12574,6,2,Yes,Mild
Albert,Los Angeles,USA,North America,20.0,2022-06-10,8.0,250.0,230.0,Finance,Series C,175.0,2022,34.05223,-118.24368,6,2,Yes,Mild
OneTrust,Atlanta,USA,North America,950.0,2022-06-09,25.0,3800.0,2850.0,Security,Series C,926.0,2022,33.749,-84.38798,6,2,Yes,Heavy
Stitch Fix,San Francisco Bay Area,USA,North America,330.0,2022-06-09,15.0,2200.0,1870.0,Retail,Post-Ipo,79.0,2022,37.77493,-122.41942,6,2,Yes,Heavy
Convoy,Seattle,USA,North America,90.0,2022-06-09,7.0,1286.0,1196.0,Logistics,Series E,1100.0,2022,47.60621,-122.33207,6,2,Yes,Moderate
Hologram,Chicago,USA,North America,80.0,2022-06-09,40.0,200.0,120.0,Infrastructure,Series B,82.0,2022,41.85003,-87.65005,6,2,Yes,Moderate
Boozt,Malmö,Sweden,Europe,70.0,2022-06-09,5.0,1400.0,1330.0,Retail,Post-Ipo,56.0,2022,55.60587,13.00073,6,2,Yes,Moderate
The Grommet,Boston,USA,North America,40.0,2022-06-09,100.0,40.0,0.0,Retail,Acquired,5.0,2022,42.35843,-71.05977,6,2,Yes,Mild
Stashaway,Singapore,Singapore,Asia,31.0,2022-06-09,14.0,221.0,190.0,Finance,Series D,61.0,2022,1.28967,103.85007,6,2,Yes,Mild
Preply,Boston,USA,North America,26.0,2022-06-09,5.0,520.0,494.0,Education,Series C,100.0,2022,42.35843,-71.05977,6,2,Yes,Mild
Sonder,San Francisco Bay Area,USA,North America,250.0,2022-06-08,21.0,1190.0,940.0,Travel,Post-Ipo,839.0,2022,37.77493,-122.41942,6,2,Yes,Heavy
Truepill,San Francisco Bay Area,USA,North America,150.0,2022-06-08,15.0,1000.0,850.0,Healthcare,Series D,255.0,2022,37.66882,-122.0808,6,2,Yes,Moderate
iPrice Group,Kuala Lumpur,Malaysia,Asia,50.0,2022-06-08,20.0,250.0,200.0,Retail,Unknown,26.0,2022,3.1412,101.68653,6,2,Yes,Moderate
Cazoo,London,United Kingdom,Europe,750.0,2022-06-07,15.0,5000.0,4250.0,Transportation,Post-Ipo,2000.0,2022,51.50853,-0.12574,6,2,Yes,Heavy
Cazoo,London,United Kingdom,Europe,750.0,2022-06-07,15.0,5000.0,4250.0,Transportation,Post-Ipo,182.0,2022,51.50853,-0.12574,6,2,Yes,Heavy
Rupeek,Bengaluru,India,Asia,180.0,2022-06-07,15.0,1200.0,1020.0,Finance,Unknown,172.0,2022,12.97194,77.59369,6,2,Yes,Moderate
Bird,Los Angeles,USA,North America,138.0,2022-06-07,23.0,600.0,462.0,Transportation,Post-Ipo,783.0,2022,34.05223,-118.24368,6,2,Yes,Moderate
Dutchie,Bend,USA,North America,50.0,2022-06-06,7.0,714.0,664.0,Other,Series D,603.0,2022,44.05817,-121.31531,6,2,Yes,Moderate
Superhuman,San Francisco Bay Area,USA,North America,23.0,2022-06-03,22.0,105.0,82.0,Consumer,Series C,108.0,2022,37.77493,-122.41942,6,2,Yes,Mild
Food52,New York City,USA,North America,21.0,2022-06-03,15.0,140.0,119.0,Food,Acquired,176.0,2022,40.71427,-74.00597,6,2,Yes,Mild
Carbon Health,San Francisco Bay Area,USA,North America,250.0,2022-06-02,8.0,3125.0,2875.0,Healthcare,Series D,522.0,2022,37.77493,-122.41942,6,2,Yes,Heavy
PolicyGenius,New York City,USA,North America,170.0,2022-06-02,25.0,680.0,510.0,Finance,Series E,286.0,2022,40.71427,-74.00597,6,2,Yes,Moderate
Yojak,Gurugram,India,Asia,140.0,2022-06-02,50.0,280.0,140.0,Construction,Seed,3.0,2022,28.4601,77.02635,6,2,Yes,Moderate
Gemini,New York City,USA,North America,100.0,2022-06-02,10.0,1000.0,900.0,Crypto,Unknown,423.0,2022,40.71427,-74.00597,6,2,Yes,Moderate
Stord,Atlanta,USA,North America,59.0,2022-06-02,8.0,738.0,679.0,Logistics,Series D,325.0,2022,33.749,-84.38798,6,2,Yes,Moderate
Gather,San Francisco Bay Area,USA,North America,30.0,2022-06-02,33.0,91.0,61.0,Consumer,Series B,76.0,2022,37.44188,-122.14302,6,2,Yes,Mild
